"LBD146LC.Code.or.Value","LBD146LC.Value.Description","LBD146LC.Count","LBD146LC.Cumulative","LBD146LC.Skip.to.Item"
"0","At or above the detection limit",244,244,NA
"1","Below lower detection limit",20,264,NA
".","Missing",1,265,NA
