"DXDSTA.Code.or.Value","DXDSTA.Value.Description","DXDSTA.Count","DXDSTA.Cumulative","DXDSTA.Skip.to.Item"
"813.34 to 2677.65","Range of Values",4602,4602,NA
".","Missing",1178,5780,NA
