"LBDCOTLC.Code.or.Value","LBDCOTLC.Value.Description","LBDCOTLC.Count","LBDCOTLC.Cumulative","LBDCOTLC.Skip.to.Item"
"0","At or above the detection limit",6326,6326,NA
"1","Below lower detection limit",1925,8251,NA
".","Missing",960,9211,NA
