"DXDTOA.Code.or.Value","DXDTOA.Value.Description","DXDTOA.Count","DXDTOA.Cumulative","DXDTOA.Skip.to.Item"
"1010.92 to 2904.16","Range of Values",4613,4613,NA
".","Missing",1167,5780,NA
