"DXXPT31Y.Code.or.Value","DXXPT31Y.Value.Description","DXXPT31Y.Count","DXXPT31Y.Cumulative","DXXPT31Y.Skip.to.Item"
"125.5 to 360.1","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
