"DRD370GQ.Code.or.Value","DRD370GQ.Value.Description","DRD370GQ.Count","DRD370GQ.Cumulative","DRD370GQ.Skip.to.Item"
"1 to 12","Range of Values",192,192,NA
".","Missing",9621,9813,NA
