"DR2IGRMS.Code.or.Value","DR2IGRMS.Value.Description","DR2IGRMS.Count","DR2IGRMS.Cumulative","DR2IGRMS.Skip.to.Item"
"0.05 to 10665","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
