"AUXLR223.Code.or.Value","AUXLR223.Value.Description","AUXLR223.Count","AUXLR223.Cumulative","AUXLR223.Skip.to.Item"
"-25 to 91","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
