"DXXL2TBS.Code.or.Value","DXXL2TBS.Value.Description","DXXL2TBS.Count","DXXL2TBS.Cumulative","DXXL2TBS.Skip.to.Item"
"0.765 to 1.819","Range of Values",3580,3580,NA
".","Missing",4140,7720,NA
