"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.0233 to 1.2","Range of Values",981,981,NA
".","Missing",468,1449,NA
