"OHQ780H.Code.or.Value","OHQ780H.Value.Description","OHQ780H.Count","OHQ780H.Cumulative","OHQ780H.Skip.to.Item"
"17","Unable to take time off from work",82,82,NA
".","Missing",9493,9575,NA
