"RHQ450.Code.or.Value","RHQ450.Value.Description","RHQ450.Count","RHQ450.Cumulative","RHQ450.Skip.to.Item"
"12 to 60","Range of Values",1209,1209,NA
"777","Refused",0,1209,NA
"999","Don't know",17,1226,NA
".","Missing",2291,3517,NA
