"SMQ670.Code.or.Value","SMQ670.Value.Description","SMQ670.Count","SMQ670.Cumulative","SMQ670.Skip.to.Item"
"1","Yes",297,297,NA
"2","No",242,539,NA
"7","Refused",0,539,NA
"9","Don't know",4,543,NA
".","Missing",6447,6990,NA
