"LBCHCB.Code.or.Value","LBCHCB.Value.Description","LBCHCB.Count","LBCHCB.Cumulative","LBCHCB.Skip.to.Item"
"18.47 to 271","Range of Values",265,265,NA
".","Missing",0,265,NA
