"URDSCNLC.Code.or.Value","URDSCNLC.Value.Description","URDSCNLC.Count","URDSCNLC.Cumulative","URDSCNLC.Skip.to.Item"
"0","At or above the detection limit",2640,2640,NA
"1","Below lower detection limit",3,2643,NA
".","Missing",112,2755,NA
