"LBDPCBLC.Code.or.Value","LBDPCBLC.Value.Description","LBDPCBLC.Count","LBDPCBLC.Cumulative","LBDPCBLC.Skip.to.Item"
"0","detectable result",1079,1079,NA
"1","below detectable limit",147,1226,NA
".","Missing",1321,2547,NA
