"LBDPFNAL.Code.or.Value","LBDPFNAL.Value.Description","LBDPFNAL.Count","LBDPFNAL.Cumulative","LBDPFNAL.Skip.to.Item"
"0","At or above the detection limit",1968,1968,NA
"1","Below lower detection limit",25,1993,NA
".","Missing",177,2170,NA
