"WBXF097.Code.or.Value","WBXF097.Value.Description","WBXF097.Count","WBXF097.Cumulative","WBXF097.Skip.to.Item"
"5993.2283 to 5993.2283","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
