"LBDGTCSI.Code.or.Value","LBDGTCSI.Value.Description","LBDGTCSI.Count","LBDGTCSI.Cumulative","LBDGTCSI.Skip.to.Item"
"0.18 to 54.66","Range of Values",6430,6430,NA
".","Missing",2402,8832,NA
