"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.034 to 16","Range of Values",3017,3017,NA
".","Missing",249,3266,NA
