"DXAFMRD0.Code.or.Value","DXAFMRD0.Value.Description","DXAFMRD0.Count","DXAFMRD0.Cumulative","DXAFMRD0.Skip.to.Item"
"40.2213 to 84.4334","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
