"DR1TFF.Code.or.Value","DR1TFF.Value.Description","DR1TFF.Count","DR1TFF.Cumulative","DR1TFF.Skip.to.Item"
"0 to 1916","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
