"SPDBACC.Code.or.Value","SPDBACC.Value.Description","SPDBACC.Count","SPDBACC.Cumulative","SPDBACC.Skip.to.Item"
"1 to 8","Range of Values",611,611,NA
".","Missing",7132,7743,NA
