"TYXA169.Code.or.Value","TYXA169.Value.Description","TYXA169.Count","TYXA169.Cumulative","TYXA169.Skip.to.Item"
"0.09 to 6.387","Range of Values",1708,1708,NA
".","Missing",3877,5585,NA
