"PSQ260.Code.or.Value","PSQ260.Value.Description","PSQ260.Count","PSQ260.Cumulative","PSQ260.Skip.to.Item"
"1","True",17,17,NA
"2","False",1,18,NA
"7","Refused",0,18,NA
"9","Don't know",6,24,NA
".","Missing",28,52,NA
