"VIDOLFM.Code.or.Value","VIDOLFM.Value.Description","VIDOLFM.Count","VIDOLFM.Cumulative","VIDOLFM.Skip.to.Item"
"5 to 9","Range of Values",6295,6295,NA
".","Missing",622,6917,NA
