"PAQ650.Code.or.Value","PAQ650.Value.Description","PAQ650.Count","PAQ650.Cumulative","PAQ650.Skip.to.Item"
"1","Yes",2193,2193,""
"2","No",4768,6961,"PAQ665"
"7","Refused",0,6961,"PAQ665"
"9","Don't know",2,6963,"PAQ665"
".","Missing",2292,9255,""
