"LBDALNLC.Code.or.Value","LBDALNLC.Value.Description","LBDALNLC.Count","LBDALNLC.Cumulative","LBDALNLC.Skip.to.Item"
"0","At or above the detection limit",4405,4405,NA
"1","Below lower detection limit",0,4405,NA
".","Missing",1238,5643,NA
