"AUXLR166.Code.or.Value","AUXLR166.Value.Description","AUXLR166.Count","AUXLR166.Cumulative","AUXLR166.Skip.to.Item"
"-6 to 41","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
