"URXEPB.Code.or.Value","URXEPB.Value.Description","URXEPB.Count","URXEPB.Cumulative","URXEPB.Skip.to.Item"
"0.71 to 1971.1","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
