"PHDSESN.Code.or.Value","PHDSESN.Value.Description","PHDSESN.Count","PHDSESN.Cumulative","PHDSESN.Skip.to.Item"
"0","morning",4166,4166,NA
"1","afternoon",3390,7556,NA
"2","evening",1609,9165,NA
".","Missing",0,9165,NA
