"DID310D.Code.or.Value","DID310D.Value.Description","DID310D.Count","DID310D.Cumulative","DID310D.Skip.to.Item"
"2 to 130","Range of Values",152,152,NA
"6666","Provider did not specify goal",229,381,NA
"7777","Refused",0,381,NA
"9999","Don't know",135,516,NA
".","Missing",9306,9822,NA
