"DXXPT25Y.Code.or.Value","DXXPT25Y.Value.Description","DXXPT25Y.Count","DXXPT25Y.Cumulative","DXXPT25Y.Skip.to.Item"
"162.7 to 397.4","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
