"DXXPT7X.Code.or.Value","DXXPT7X.Value.Description","DXXPT7X.Count","DXXPT7X.Cumulative","DXXPT7X.Skip.to.Item"
"12.5 to 480","Range of Values",2992,2992,NA
".","Missing",716,3708,NA
