"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"8 to 659","Range of Values",2690,2690,NA
".","Missing",87,2777,NA
