"LBC110LA.Code.or.Value","LBC110LA.Value.Description","LBC110LA.Count","LBC110LA.Cumulative","LBC110LA.Skip.to.Item"
"0.1 to 3.2","Range of Values",264,264,NA
".","Missing",0,264,NA
