"CIQD032.Code.or.Value","CIQD032.Value.Description","CIQD032.Count","CIQD032.Cumulative","CIQD032.Skip.to.Item"
"1","Yes",46,46,""
"2","No",64,110,"CIQD034"
"7","Refuse",0,110,"CIQD034"
"9","Don't know",1,111,"CIQD034"
".","Missing",817,928,""
