"DS1IVB6.Code.or.Value","DS1IVB6.Value.Description","DS1IVB6.Count","DS1IVB6.Cumulative","DS1IVB6.Skip.to.Item"
"0.02 to 1000","Range of Values",1660,1660,NA
".","Missing",3710,5370,NA
