"DS1IPROT.Code.or.Value","DS1IPROT.Value.Description","DS1IPROT.Count","DS1IPROT.Cumulative","DS1IPROT.Skip.to.Item"
"0.01 to 36","Range of Values",204,204,NA
".","Missing",5754,5958,NA
