"URDHPMLC.Code.or.Value","URDHPMLC.Value.Description","URDHPMLC.Count","URDHPMLC.Cumulative","URDHPMLC.Skip.to.Item"
"0","At or above the detection limit",2470,2470,NA
"1","Below lower detection limit",5,2475,NA
".","Missing",130,2605,NA
