"DR1TS120.Code.or.Value","DR1TS120.Value.Description","DR1TS120.Count","DR1TS120.Cumulative","DR1TS120.Skip.to.Item"
"0 to 22.618","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
