"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.21 to 49.9","Range of Values",2271,2271,NA
".","Missing",78,2349,NA
