"DR1IP182.Code.or.Value","DR1IP182.Value.Description","DR1IP182.Count","DR1IP182.Cumulative","DR1IP182.Skip.to.Item"
"0 to 51.807","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
