"SSKLOTH.Code.or.Value","SSKLOTH.Value.Description","SSKLOTH.Count","SSKLOTH.Cumulative","SSKLOTH.Skip.to.Item"
"153.8 to 5038.3","Range of Values",2637,2637,NA
".","Missing",0,2637,NA
