"LBDFOTSI.Code.or.Value","LBDFOTSI.Value.Description","LBDFOTSI.Count","LBDFOTSI.Cumulative","LBDFOTSI.Skip.to.Item"
"4.07 to 1390","Range of Values",8047,8047,NA
".","Missing",1118,9165,NA
