"DS1ITFAT.Code.or.Value","DS1ITFAT.Value.Description","DS1ITFAT.Count","DS1ITFAT.Cumulative","DS1ITFAT.Skip.to.Item"
"0.2 to 29","Range of Values",598,598,NA
".","Missing",5308,5906,NA
