"RHQ568U.Code.or.Value","RHQ568U.Value.Description","RHQ568U.Count","RHQ568U.Cumulative","RHQ568U.Skip.to.Item"
"1","Months",37,37,NA
"2","Years",57,94,NA
"7","Refused",0,94,NA
"9","Don't know",0,94,NA
".","Missing",3470,3564,NA
