"HCQ160.Code.or.Value","HCQ160.Value.Description","HCQ160.Count","HCQ160.Cumulative","HCQ160.Skip.to.Item"
"1","True",27,27,NA
"2","False",5,32,NA
"7","Refused",0,32,NA
"9","Don't know",2,34,NA
".","Missing",44,78,NA
