"DRD350FQ.Code.or.Value","DRD350FQ.Value.Description","DRD350FQ.Count","DRD350FQ.Cumulative","DRD350FQ.Skip.to.Item"
"1 to 12","Range of Values",276,276,NA
".","Missing",9486,9762,NA
