"RXQ360G.Code.or.Value","RXQ360G.Value.Description","RXQ360G.Count","RXQ360G.Cumulative","RXQ360G.Skip.to.Item"
"1","Enter strength",699,699,""
"2","Information not on bottle/container",18,717,"End of Section"
"3","Multiple ingredient product",11,728,"End of Section"
".","Missing",4515,5243,""
