"DR2ISUGR.Code.or.Value","DR2ISUGR.Value.Description","DR2ISUGR.Count","DR2ISUGR.Cumulative","DR2ISUGR.Skip.to.Item"
"0 to 767.81","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
