"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",1709,1709,NA
"2","No",143994,145703,NA
".","Missing",0,145703,NA
