"RDD060.Code.or.Value","RDD060.Value.Description","RDD060.Count","RDD060.Cumulative","RDD060.Skip.to.Item"
"1 to 66","Range of Values",392,392,NA
"70","70 or more",0,392,NA
"77777","Refused",2,394,NA
"99999","Don't know",15,409,NA
".","Missing",9700,10109,NA
