"OCQ290G.Code.or.Value","OCQ290G.Value.Description","OCQ290G.Count","OCQ290G.Cumulative","OCQ290G.Skip.to.Item"
"1","Enter number",695,695,NA
"2","Never",2427,3122,NA
"7","Refused",0,3122,NA
"9","Don't know",10,3132,NA
".","Missing",4163,7295,NA
