"HCQ124.Code.or.Value","HCQ124.Value.Description","HCQ124.Count","HCQ124.Cumulative","HCQ124.Skip.to.Item"
"1","Yes",8,8,"HCQ130"
"2","No",3,11,""
"7","Refused",0,11,"HCQ150"
"9","Don't know",3,14,"HCQ150"
".","Missing",73,87,""
