"OPDDSUBH.Code.or.Value","OPDDSUBH.Value.Description","OPDDSUBH.Count","OPDDSUBH.Cumulative","OPDDSUBH.Skip.to.Item"
"0","No",2352,2352,NA
"1","Yes",3,2355,NA
".","Missing",579,2934,NA
