"DR1TKCAL.Code.or.Value","DR1TKCAL.Value.Description","DR1TKCAL.Count","DR1TKCAL.Cumulative","DR1TKCAL.Skip.to.Item"
"0 to 9724","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
