"DRD370KQ.Code.or.Value","DRD370KQ.Value.Description","DRD370KQ.Count","DRD370KQ.Cumulative","DRD370KQ.Skip.to.Item"
"1 to 15","Range of Values",144,144,NA
".","Missing",9618,9762,NA
