"WTSPH46.Code.or.Value","WTSPH46.Value.Description","WTSPH46.Count","WTSPH46.Cumulative","WTSPH46.Skip.to.Item"
"0 to 803502.12242","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
