"DRD370B.Code.or.Value","DRD370B.Value.Description","DRD370B.Count","DRD370B.Cumulative","DRD370B.Skip.to.Item"
"1","Yes",2382,2382,""
"2","No",3569,5951,"DRD370C"
".","Missing",4302,10253,""
