"DUQ290.Code.or.Value","DUQ290.Value.Description","DUQ290.Count","DUQ290.Cumulative","DUQ290.Skip.to.Item"
"1","Yes",86,86,""
"2","No",608,694,"DUQ330"
"7","Refused",0,694,"DUQ330"
"9","Don't know",1,695,"DUQ330"
".","Missing",3930,4625,""
