"AUXLR143.Code.or.Value","AUXLR143.Value.Description","AUXLR143.Count","AUXLR143.Cumulative","AUXLR143.Skip.to.Item"
"-15 to 58","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
