"LBXVEA.Code.or.Value","LBXVEA.Value.Description","LBXVEA.Count","LBXVEA.Cumulative","LBXVEA.Skip.to.Item"
"0.1117 to 41.2","Range of Values",3140,3140,NA
".","Missing",349,3489,NA
