"WBXF074.Code.or.Value","WBXF074.Value.Description","WBXF074.Count","WBXF074.Cumulative","WBXF074.Skip.to.Item"
"3084.4217 to 3084.4217","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
